employee_number,first_name,last_name,ppsn_masked,department,job_title,pay_frequency,salary_type,annual_salary,hourly_rate,standard_hours,prsi_class,pension_scheme,pension_ee_percent,pension_er_percent,employment_start_date,employment_end_date,tax_basis,annual_tax_credits,annual_srcop,usc_status,lpt_annual,benefits
E0001,Sinéad,Johnston,•••••01S,Marketing,Marketing Executive,MONTHLY,SALARY,53100.00,,,A,OCCUPATIONAL,0.0300,0.0300,2015-04-05,,CUMULATIVE,4000.00,44000.00,ORDINARY,0.00,
E0002,David,McCarthy,••••••4IA,Operations,Team Lead,MONTHLY,SALARY,48100.00,,,A,,,,2017-06-20,,CUMULATIVE,4000.00,44000.00,ORDINARY,0.00,
E0003,Priya,Flynn,••••••7CA,Customer Service,Customer Service Agent,WEEKLY,HOURLY,,18.5500,39.00,A,OCCUPATIONAL,0.0500,0.0600,2015-11-09,,CUMULATIVE,4000.00,44000.00,ORDINARY,1035.00,
E0004,Saoirse,Ryan,•••••87U,Operations,Operations Associate,MONTHLY,SALARY,33600.00,,,A,OCCUPATIONAL,0.0800,0.0500,2023-09-18,,CUMULATIVE,4000.00,44000.00,ORDINARY,1035.00,
E0005,Aoibhinn,Keane,—,Administration,Receptionist,MONTHLY,SALARY,43200.00,,,A,,,,2013-05-14,,,,,,,
E0006,Saoirse,Kennedy,•••••54O,Marketing,Marketing Executive,MONTHLY,SALARY,76400.00,,,A,OCCUPATIONAL,0.0500,0.0600,2014-09-25,,CUMULATIVE,4000.00,44000.00,ORDINARY,405.00,
E0007,Seán,Kelly,•••••33G,Management,Head of Department,MONTHLY,SALARY,105000.00,,,S,,,,2015-12-10,,CUMULATIVE,4000.00,44000.00,ORDINARY,90.00,
E0008,Shane,Kowalski,•••••67Q,Sales,Account Executive,MONTHLY,SALARY,65900.00,,,A,OCCUPATIONAL,0.0500,0.0600,2019-04-26,,CUMULATIVE,4000.00,44000.00,ORDINARY,495.00,
E0009,Oisín,Murphy,•••••60D,Customer Service,Senior Agent,WEEKLY,HOURLY,,16.4100,20.00,A,,,,2026-02-25,,CUMULATIVE,4000.00,44000.00,ORDINARY,0.00,
E0010,Tomasz,Maguire,•••••61V,Finance,Accountant,MONTHLY,SALARY,68100.00,,,A,OCCUPATIONAL,0.0500,0.0300,2025-09-06,,CUMULATIVE,4000.00,44000.00,ORDINARY,1035.00,
E0011,Ana,O'Reilly,••••••3NA,Operations,Logistics Coordinator,MONTHLY,SALARY,30600.00,,,A,,,,2019-10-19,,CUMULATIVE,4000.00,44000.00,ORDINARY,0.00,
E0012,Niamh,Murphy,••••••6MA,Customer Service,Senior Agent,WEEKLY,HOURLY,,18.1200,20.00,A,,,,2021-04-23,,CUMULATIVE,5000.00,44000.00,ORDINARY,315.00,
E0013,Lucas,Nagle,••••••8TA,Sales,Account Executive,MONTHLY,SALARY,70300.00,,,A,OCCUPATIONAL,0.0600,0.0600,2012-05-12,,CUMULATIVE,6000.00,53000.00,ORDINARY,0.00,
E0014,Cian,Kowalski,••••••1WA,Customer Service,Senior Agent,WEEKLY,HOURLY,,14.7700,39.00,A,OCCUPATIONAL,0.0300,0.0300,2019-06-10,,CUMULATIVE,6000.00,53000.00,ORDINARY,585.00,
E0015,Aoibhinn,Moore,•••••95S,HR,Recruiter,MONTHLY,SALARY,59600.00,,,A,OCCUPATIONAL,0.0600,0.0600,2026-08-18,,CUMULATIVE,5000.00,44000.00,ORDINARY,405.00,
E0016,Orla,Kennedy,••••••9MA,Operations,Team Lead,MONTHLY,SALARY,36000.00,,,,OCCUPATIONAL,0.0800,0.0300,2022-06-15,,CUMULATIVE,4000.00,44000.00,ORDINARY,405.00,
E0017,Emma,Collins,•••••08D,Sales,Account Executive,MONTHLY,SALARY,57800.00,,,A,,,,2023-01-25,,CUMULATIVE,4000.00,44000.00,ORDINARY,585.00,
